ID,Area,Centre x,Centre y,Radius
1.0,200.0,905.0,885.0,8.06225774829855
2.0,200.0,127.0,304.0,8.06225774829855
5.0,200.0,1004.0,909.0,8.06225774829855
7.0,200.0,655.0,206.0,8.06225774829855
10.0,200.0,875.0,649.0,8.06225774829855
16.0,200.0,470.0,806.0,8.06225774829855
18.0,200.0,352.0,167.0,8.06225774829855
19.0,200.0,661.0,264.0,8.06225774829855
24.0,200.0,639.0,465.0,8.06225774829855
25.0,200.0,125.0,130.0,8.06225774829855
26.0,200.0,543.0,109.0,8.06225774829855
27.0,200.0,379.0,657.0,8.06225774829855
29.0,200.0,527.0,184.0,8.06225774829855
32.0,200.0,629.0,890.0,8.06225774829855
40.0,200.0,353.0,770.0,8.06225774829855
44.0,200.0,857.0,687.0,8.06225774829855
46.0,200.0,222.0,970.0,8.06225774829855
51.0,200.0,550.0,939.0,8.06225774829855
52.0,200.0,608.0,41.0,8.06225774829855
53.0,200.0,245.0,61.0,8.06225774829855
55.0,200.0,120.0,995.0,8.06225774829855
58.0,200.0,235.0,766.0,8.06225774829855
62.0,200.0,66.0,757.0,8.06225774829855
68.0,200.0,828.0,346.0,8.06225774829855
70.0,200.0,71.0,698.0,8.06225774829855
71.0,200.0,419.0,478.0,8.06225774829855
73.0,200.0,362.0,363.0,8.06225774829855
76.0,200.0,951.0,338.0,8.06225774829855
77.0,200.0,198.0,580.0,8.06225774829855
79.0,200.0,542.0,368.0,8.06225774829855
87.0,200.0,480.0,925.0,8.06225774829855
91.0,200.0,560.0,171.0,8.06225774829855
95.0,200.0,43.0,985.0,8.06225774829855
97.0,200.0,767.0,885.0,8.06225774829855
98.0,200.0,337.0,279.0,8.06225774829855
102.0,200.0,360.0,864.0,8.06225774829855
103.0,200.0,435.0,596.0,8.06225774829855
106.0,200.0,543.0,513.0,8.06225774829855
108.0,200.0,137.0,450.0,8.06225774829855
112.0,200.0,913.0,159.0,8.06225774829855
113.0,200.0,15.0,207.0,8.06225774829855
114.0,200.0,443.0,427.0,8.06225774829855
117.0,200.0,985.0,61.0,8.06225774829855
120.0,200.0,607.0,759.0,8.06225774829855
123.0,200.0,367.0,35.0,8.06225774829855
128.0,200.0,165.0,82.0,8.06225774829855
130.0,200.0,144.0,535.0,8.06225774829855
132.0,200.0,568.0,417.0,8.06225774829855
133.0,200.0,720.0,867.0,8.06225774829855
135.0,200.0,153.0,13.0,8.06225774829855
137.0,200.0,606.0,1004.0,8.06225774829855
138.0,200.0,431.0,114.0,8.06225774829855
139.0,200.0,369.0,689.0,8.06225774829855
142.0,200.0,706.0,220.0,8.06225774829855
143.0,200.0,295.0,565.0,8.06225774829855
155.0,200.0,834.0,151.0,8.06225774829855
157.0,200.0,402.0,620.0,8.06225774829855
159.0,200.0,652.0,375.0,8.06225774829855
161.0,200.0,903.0,580.0,8.06225774829855
163.0,200.0,408.0,61.0,8.06225774829855
165.0,200.0,838.0,932.0,8.06225774829855
167.0,200.0,82.0,81.0,8.06225774829855
170.0,200.0,98.0,252.0,8.06225774829855
171.0,200.0,346.0,47.0,8.06225774829855
172.0,200.0,276.0,372.0,8.06225774829855
174.0,200.0,209.0,272.0,8.06225774829855
179.0,200.0,845.0,996.0,8.06225774829855
180.0,200.0,542.0,326.0,8.06225774829855
182.0,200.0,119.0,173.0,8.06225774829855
183.0,200.0,810.0,147.0,8.06225774829855
184.0,200.0,555.0,867.0,8.06225774829855
185.0,200.0,164.0,323.0,8.06225774829855
186.0,200.0,641.0,494.0,8.06225774829855
189.0,200.0,169.0,422.0,8.06225774829855
191.0,200.0,375.0,829.0,8.06225774829855
194.0,200.0,410.0,886.0,8.06225774829855
195.0,200.0,732.0,679.0,8.06225774829855
196.0,200.0,147.0,399.0,8.06225774829855
210.0,200.0,728.0,156.0,8.06225774829855
212.0,200.0,67.0,333.0,8.06225774829855
213.0,200.0,251.0,204.0,8.06225774829855
215.0,200.0,845.0,584.0,8.06225774829855
218.0,200.0,929.0,506.0,8.06225774829855
219.0,200.0,561.0,55.0,8.06225774829855
220.0,200.0,579.0,112.0,8.06225774829855
224.0,200.0,989.0,22.0,8.06225774829855
225.0,200.0,1003.0,378.0,8.06225774829855
226.0,200.0,213.0,465.0,8.06225774829855
227.0,200.0,757.0,182.0,8.06225774829855
231.0,200.0,784.0,701.0,8.06225774829855
233.0,200.0,264.0,976.0,8.06225774829855
234.0,200.0,510.0,81.0,8.06225774829855
238.0,200.0,810.0,595.0,8.06225774829855
241.0,200.0,87.0,13.0,8.06225774829855
242.0,200.0,592.0,825.0,8.06225774829855
243.0,200.0,952.0,73.0,8.06225774829855
259.0,200.0,943.0,846.0,8.06225774829855
261.0,200.0,807.0,882.0,8.06225774829855
263.0,200.0,584.0,540.0,8.06225774829855
264.0,200.0,17.0,433.0,8.06225774829855
265.0,200.0,521.0,31.0,8.06225774829855
267.0,200.0,690.0,722.0,8.06225774829855
270.0,200.0,16.0,857.0,8.06225774829855
271.0,200.0,395.0,120.0,8.06225774829855
275.0,200.0,152.0,700.0,8.06225774829855
281.0,200.0,571.0,767.0,8.06225774829855
284.0,200.0,792.0,322.0,8.06225774829855
285.0,200.0,622.0,683.0,8.06225774829855
288.0,200.0,737.0,646.0,8.06225774829855
291.0,200.0,388.0,305.0,8.06225774829855
292.0,200.0,417.0,21.0,8.06225774829855
298.0,200.0,841.0,600.0,8.06225774829855
300.0,200.0,488.0,373.0,8.06225774829855
302.0,200.0,391.0,406.0,8.06225774829855
309.0,200.0,370.0,415.0,8.06225774829855
310.0,200.0,171.0,974.0,8.06225774829855
316.0,200.0,279.0,124.0,8.06225774829855
319.0,200.0,479.0,530.0,8.06225774829855
323.0,200.0,464.0,836.0,8.06225774829855
324.0,200.0,2.0,529.0,8.06225774829855
326.0,200.0,62.0,222.0,8.06225774829855
329.0,200.0,920.0,813.0,8.06225774829855
330.0,200.0,460.0,184.0,8.06225774829855
331.0,200.0,322.0,313.0,8.06225774829855
332.0,200.0,244.0,336.0,8.06225774829855
334.0,200.0,282.0,746.0,8.06225774829855
335.0,200.0,627.0,230.0,8.06225774829855
